"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"1990","88.4777777777777","90","45","154"
"1991","87.7666666666666","90","45","137"
"1992","75.3","90","38.5","114"
"1993","74.5111111111111","90","37","124"
"1994","73.0611111111111","90","34","126"
"1995","74.9055555555555","90","37","133.5"
"1996","65.5888888888889","90","33","114.5"
"1997","66.5555555555555","90","36","113.5"
"1998","62.9814814814815","90","33.5","105"
"1999","67.474074074074","90","38.3333333333333","109"
"2000","65.6333333333333","90","35","105"
"2001","63.2777777777777","90","36","97"
"2002","61.9833333333333","90","36","95.5"
"2003","66.5555555555555","90","31","120.5"
"2004","56.3","90","29","90.5"
"2005","59.2222222222222","90","32.5","97"
"2006","59.0333333333333","90","34","98"
"2007","64.2666666666666","90","31","103"
"2008","56.4888888888889","90","31.5","87"
"2009","50.8444444444444","90","25","80.5"
"2010","48.3777777777777","90","26.5","72.5"
"2011","56.3333333333333","90","30","85"
"2012","53.9777777777777","90","28","91.5"
"2013","59.0259259259259","90","25","100"
"2014","56.9185185185185","90","25.5","102"
"2015","55.8555555555555","90","29","78"
"2016","53.0333333333333","90","24.5","91.5"
"2017","58.7666666666666","90","24.5","106"
"2018","68.0388888888889","90","27","169"
"2019","46.4","90","23.5","73"
"2020","66.0444444444444","90","24","118"
"2021","59.8888888888888","90","25","118.5"
