"NADPID","SITEID","STARTDATE","ENDDATE","AIRVOL","CONC","QR","CHNGDATE"
"N12001388","VT99","11-20-2012 20:15:00","12-04-2012 20:25:00","4.7400000000","0.2000000000","A","2-05-2013 04:26:00"
"N12001456","VT99","12-04-2012 15:25:00","12-18-2012 12:20:00","4.6900000000","0.1400000000","B","12-27-2012 15:56:00"
"N13000061","VT99","12-18-2012 17:20:00","1-03-2013 20:30:00","5.4600000000","0.2500000000","B","3-12-2013 18:38:00"
"N13000103","VT99","1-03-2013 20:30:00","1-15-2013 15:20:00","3.9900000000","0.4400000000","A","3-13-2013 13:18:00"
"N13000159","VT99","1-15-2013 15:20:00","1-29-2013 15:45:00","4.7400000000","0.0800000000","B","2-01-2013 16:14:00"
"N13000229","VT99","1-29-2013 15:55:00","2-12-2013 19:40:00","-9.0000000000","-9.0000000000","C","5-08-2013 22:28:00"
"N13000295","VT99","2-12-2013 19:40:00","2-26-2013 16:20:00","4.6900000000","0.1200000000","A","3-01-2013 18:49:00"
"N13000349","VT99","2-26-2013 16:25:00","3-12-2013 16:45:00","4.7400000000","0.1800000000","A","6-18-2013 21:21:00"
"N13000410","VT99","3-12-2013 16:50:00","3-25-2013 16:40:00","4.4000000000","0.1800000000","A","4-29-2013 21:05:00"
"N13000473","VT99","3-25-2013 16:45:00","4-09-2013 15:20:00","5.0600000000","0.2900000000","A","4-12-2013 16:28:00"
"N13000532","VT99","4-09-2013 15:20:00","4-23-2013 17:00:00","4.7600000000","0.2800000000","A","4-26-2013 17:18:00"
"N13000593","VT99","4-23-2013 17:05:00","5-07-2013 16:15:00","4.7300000000","0.7600000000","B","7-22-2013 13:34:00"
"N13000668","VT99","5-07-2013 16:15:00","5-21-2013 16:10:00","4.7400000000","0.6100000000","B","6-18-2013 14:29:00"
"N13000731","VT99","5-21-2013 16:10:00","6-04-2013 15:55:00","4.7300000000","0.5900000000","A","6-07-2013 18:45:00"
"N13000792","VT99","6-04-2013 16:00:00","6-18-2013 15:45:00","4.7300000000","0.5700000000","B","7-29-2013 20:46:00"
"N13000849","VT99","6-18-2013 15:50:00","7-02-2013 16:45:00","4.7500000000","0.8700000000","B","7-30-2013 15:44:00"
"N13000918","VT99","7-02-2013 16:50:00","7-17-2013 16:40:00","5.0700000000","0.9300000000","A","7-22-2013 15:22:00"
"N13000979","VT99","7-17-2013 16:45:00","7-30-2013 16:00:00","4.3900000000","0.7600000000","A","8-02-2013 17:25:00"
"N13001031","VT99","7-30-2013 16:05:00","8-13-2013 15:25:00","4.7300000000","0.5900000000","A","8-16-2013 16:39:00"
"N13001106","VT99","8-13-2013 15:30:00","8-27-2013 15:35:00","4.7400000000","0.6900000000","A","8-30-2013 17:34:00"
"N13001163","VT99","8-27-2013 15:35:00","9-10-2013 15:10:00","4.7300000000","0.7400000000","A","10-18-2013 13:04:00"
"N13001246","VT99","9-10-2013 15:15:00","9-24-2013 14:40:00","4.7300000000","0.5900000000","A","9-30-2013 16:14:00"
"N13001282","VT99","9-24-2013 14:45:00","10-08-2013 15:25:00","4.7500000000","0.5200000000","A","10-11-2013 16:36:00"
"N13001346","VT99","10-08-2013 15:25:00","10-22-2013 15:00:00","4.7300000000","0.5800000000","A","10-25-2013 18:47:00"
"N13001412","VT99","10-22-2013 15:00:00","11-05-2013 15:05:00","4.7400000000","0.3200000000","A","11-08-2013 17:32:00"
"N13001483","VT99","11-05-2013 15:10:00","11-19-2013 15:30:00","4.7400000000","0.3000000000","B","1-23-2014 19:31:00"
"N13001539","VT99","11-19-2013 15:45:00","12-03-2013 17:15:00","4.7600000000","0.3900000000","A","12-09-2013 19:01:00"
"N14000003","VT99","12-03-2013 17:15:00","12-18-2013 15:30:00","5.0500000000","0.4500000000","B","2-13-2014 15:10:00"
"N14000011","VT99","12-18-2013 15:30:00","12-31-2013 16:50:00","4.4200000000","0.3900000000","A","1-07-2014 18:30:00"
"N14000110","VT99","12-31-2013 16:50:00","1-14-2014 16:15:00","4.7300000000","0.2600000000","A","1-21-2014 19:00:00"
"N14000177","VT99","1-14-2014 16:20:00","1-28-2014 18:45:00","4.7700000000","0.0800000000","B","2-03-2014 18:52:00"
"N14000237","VT99","1-28-2014 18:45:00","2-11-2014 16:25:00","4.7000000000","0.2100000000","A","2-14-2014 18:40:00"
"N14000331","VT99","2-11-2014 16:25:00","2-25-2014 16:25:00","4.7400000000","0.1700000000","A","3-04-2014 17:13:00"
"N14000404","VT99","2-25-2014 16:30:00","3-11-2014 17:50:00","4.7600000000","0.1900000000","A","3-20-2014 14:14:00"
"N14000441","VT99","3-11-2014 17:50:00","3-25-2014 15:03:00","4.7000000000","0.3100000000","A","3-28-2014 15:55:00"
"N14000513","VT99","3-25-2014 15:04:00","4-08-2014 17:40:00","4.7700000000","0.3100000000","A","4-11-2014 16:08:00"
"N14000570","VT99","4-08-2014 17:40:00","4-22-2014 16:40:00","4.7200000000","0.4700000000","A","4-25-2014 17:05:00"
"N14000628","VT99","4-22-2014 16:40:00","5-06-2014 16:10:00","4.7300000000","0.5400000000","A","5-09-2014 16:37:00"
"N14000704","VT99","5-06-2014 16:10:00","5-20-2014 15:30:00","-9.0000000000","-9.0000000000","C","6-26-2014 14:23:00"
"N14000766","VT99","5-20-2014 15:30:00","6-03-2014 15:05:00","4.7300000000","0.8300000000","A","6-06-2014 16:17:00"
